frame,x_px,y_px,angle_raw_rad,angle_unwrap_rad, omega
125,282.234,456.715,-2.68675,3.59643,0.804413
126,283.787,459.237,-2.67335,3.60984,0.909164
127,285.255,462.229,-2.65819,3.62499,0.882991
128,286.668,465.145,-2.64348,3.63971,0.863862
129,288.36,467.828,-2.62908,3.65411,0.853265
130,289.81,470.602,-2.61486,3.66833,0.788054
131,291.172,473.155,-2.60172,3.68146,0.838044
132,292.695,475.829,-2.58776,3.69543,0.896683
133,294.349,478.677,-2.57281,3.71037,0.845762
134,296.249,481.144,-2.55872,3.72447,0.833172
135,297.787,483.795,-2.54483,3.73835,0.867965
136,299.799,486.276,-2.53036,3.75282,0.756627
137,301.24,488.657,-2.51775,3.76543,0.76203
138,303.24,490.657,-2.50505,3.77813,0.768303
139,304.674,493.102,-2.49225,3.79094,0.922749
140,306.709,495.808,-2.47687,3.80632,0.752944
141,308.683,497.766,-2.46432,3.81887,0.811582
142,310.308,500.281,-2.45079,3.83239,0.768241
143,312.308,502.281,-2.43799,3.8452,0.854636
144,314.302,504.699,-2.42375,3.85944,0.777567
145,316.268,506.764,-2.41079,3.8724,0.849709
146,318.335,509.094,-2.39662,3.88656,0.7714
147,320.335,511.094,-2.38377,3.89942,0.772667
148,322.276,513.155,-2.37089,3.9123,0.771943
149,324.276,515.155,-2.35802,3.92516,0.772977
150,326.304,517.131,-2.34514,3.93804,0.780964
151,328.354,519.128,-2.33213,3.95106,0.978136
152,330.674,521.898,-2.31582,3.96736,0.767209
153,332.652,523.909,-2.30304,3.98015,0.745839
154,335.2,525.159,-2.29061,3.99258,0.770278
155,337.2,527.159,-2.27777,4.00542,0.886437
156,339.752,529.17,-2.26299,4.02019,0.886743
157,342.326,531.151,-2.24821,4.03497,0.767008
158,344.326,533.151,-2.23543,4.04775,0.781874
159,346.714,534.747,-2.2224,4.06079,0.874445
160,349.226,536.736,-2.20783,4.07536,0.900387
161,351.801,538.807,-2.19282,4.09037,0.792457
162,354.322,540.272,-2.17961,4.10357,0.845821
163,356.692,542.297,-2.16551,4.11767,0.926041
164,359.761,543.81,-2.15008,4.1331,0.873029
165,362.282,545.802,-2.13553,4.14766,0.755388
166,364.695,547.166,-2.12294,4.16024,1.00953
167,367.823,549.142,-2.10611,4.17707,0.901639
168,370.719,550.735,-2.09109,4.1921,0.928231
169,373.802,552.187,-2.07562,4.20757,0.817642
170,376.29,553.878,-2.06199,4.2212,0.883498
171,379.243,555.216,-2.04726,4.23592,0.949267
172,382.362,556.75,-2.03144,4.25174,1.04771
173,385.845,558.355,-2.01398,4.2692,0.8826
174,388.714,559.849,-1.99927,4.28391,0.921972
175,391.838,561.13,-1.98391,4.29928,1.02112
176,395.214,562.744,-1.96689,4.3163,1.04053
177,398.705,564.279,-1.94954,4.33364,0.998433
178,402.286,565.151,-1.9329,4.35028,0.897499
179,405.233,566.653,-1.91795,4.36524,1.12313
180,409.189,567.796,-1.89923,4.38396,1.03431
181,412.728,569.151,-1.88199,4.4012,1.02033
182,416.31,570.213,-1.86498,4.4182,1.00141
183,419.834,571.222,-1.84829,4.43489,1.12139
184,423.817,572.215,-1.8296,4.45358,1.13852
